id;Название плейлиста;Название видео;Дата публикации видео;Количество просмотров видео;Количество лайков под видео;Количество дизлайков под видео;Количество добавлений видео в избранное;Количество комментариев под видео;Продолжительность видео в секундах
5nUlR53KMHI;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);КОРОЛЬ ПОПСЫ-T95/FV4201 Chieftain;2020-11-13T07:00:01Z;78639;4947;104;0;501;1672
sb3JL3IdnnM;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ПОЛЬСКИЙ ФЛЭШ-CS-63;2020-11-11T07:00:06Z;60781;3257;96;0;331;1714
QsPtM3F4jkQ;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);НАСТОЯЩИЙ МУЖЧИНА-VK 72.01 (K);2020-11-09T07:00:03Z;54000;3097;62;0;319;2122
FRCokVyG6bk;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);НЕМЕЦКИЙ БОЯРИН-Pz.Kpfw. VII;2020-11-07T07:00:02Z;44850;3074;70;0;364;2821
GdC7D9WxnLw;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);НИНДЗЯ С ДУБИНОЙ-WZ-111 5A;2020-11-05T07:00:04Z;75402;3717;69;0;324;2603
ajHXQjoj3oU;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);НЕДОКОНЬ-AMX M4 54;2020-11-03T07:00:01Z;57425;3501;72;0;435;2284
Q_jcxS0MAl8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);121B-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-11-01T05:00:02Z;42991;2217;58;0;348;2659
5fjnpF7O2_A;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);121-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-30T04:00:01Z;40100;2428;55;0;344;1990
3rDc0doybiY;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Centurion Action X-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-28T04:00:00Z;54013;3615;84;0;441;1960
8fU_6wgRZn8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);E 50M-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-26T04:00:01Z;53074;3507;51;0;350;1922
GZrgAwhlAU8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ОБЪЕКТ 140-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-24T04:00:03Z;75943;4248;92;0;406;1595
jEiy6lOdEBI;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);FV215B (183)-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-22T04:00:11Z;50272;3342;97;0;604;1452
